12

0 0 3 5 0 0 0 4 5 2 0 1 
0 0 0 1 4 4 3 3 4 3 3 5 
3 0 0 0 5 3 5 4 1 5 3 4 
5 1 0 0 0 5 3 0 4 4 0 5 
0 4 5 0 0 2 3 2 5 1 0 3 
0 4 3 5 2 0 5 5 3 3 3 4 
0 3 5 3 3 5 0 5 3 3 3 3 
4 3 4 0 2 5 5 0 2 2 2 5 
5 4 1 4 5 3 3 2 0 2 0 2 
2 3 5 4 1 3 3 2 2 0 2 0 
0 3 3 0 0 3 3 2 0 2 0 4 
1 5 4 5 3 4 3 5 2 0 4 0 

0 0 0 1 0 1 5 3 1 4 5 9 
0 0 6 4 9 8 0 9 5 4 8 5 
0 6 0 3 8 10 0 9 9 3 4 2 
1 4 3 0 8 1 10 2 8 1 9 1 
0 9 8 8 0 1 4 3 3 8 10 3 
1 8 10 1 1 0 3 2 0 1 0 10 
5 0 0 10 4 3 0 5 4 0 10 2 
3 9 9 2 3 2 5 0 0 2 6 7 
1 5 9 8 3 0 4 0 0 8 10 8 
4 4 3 1 8 1 0 2 8 0 0 7 
5 8 4 9 10 0 10 6 10 0 0 8 
9 5 2 1 3 10 2 7 8 7 8 0 
