v1	 2.137156e+00	 3.413613e+00
v2	 4.499937e+00	 2.959853e+00
v3	 1.832612e+00	 2.016024e+00
v4	 2.314403e+00	 6.952434e+00
v5	 6.967775e+00	 3.380837e+00
v6	 3.962135e-01	 4.438047e-01
v7	 3.719709e-01	 5.066482e+00
v8	 3.472833e-01	 2.679857e+00
v9	 3.901110e+00	 2.705600e+00
v10	 6.195065e+00	 3.387755e+00
v11	 4.849695e+00	 4.761195e-01
v12	 1.709954e+00	 3.594336e+00
v13	 5.588202e+00	 2.487706e+00
v14	 6.334062e+00	 2.303177e+00
v15	 1.836295e+00	 6.883006e+00
v16	 5.669970e+00	 4.976649e+00
v17	 3.220776e+00	 2.658745e+00
v18	 3.696710e+00	 5.930639e+00
v19	 1.311260e+00	 1.850173e+00
v20	 1.177787e+00	 2.808996e+00
v21	 6.513583e+00	 3.535591e+00
v22	 5.299526e+00	 2.629708e+00
v23	 6.816281e+00	 1.315761e+00
v24	 5.875795e+00	 4.405889e+00
v25	 6.403551e+00	 5.705251e+00
v26	 4.247523e+00	 4.756823e+00
v27	 2.740451e+00	 3.799209e-01
v28	 3.323800e+00	 6.351663e+00
v29	 4.468568e+00	 5.341263e+00
v30	 3.533003e+00	 3.686812e+00
v31	 8.189282e-01	 3.676312e+00
v32	 6.073300e+00	 4.472479e+00
v33	 4.232348e+00	 4.130915e+00
v34	 3.460691e+00	 6.023519e+00
v35	 2.718507e+00	 3.716950e+00
v36	 3.747773e-01	 4.625087e+00
v37	 6.719623e+00	 3.639039e+00
v38	 3.353017e+00	 6.164926e+00
v39	 2.012645e+00	 6.620826e+00
v40	 5.397353e+00	 7.461911e-01
v41	 6.254340e+00	 2.783646e+00
v42	 3.896374e+00	 2.915447e-01
v43	 6.653046e+00	 3.100378e+00
v44	 6.018113e+00	 1.577844e+00
v45	 8.067464e-01	 3.086774e+00
v46	 8.269835e-01	 3.885414e+00
v47	 3.808851e+00	 2.574664e+00
v48	 2.054172e-01	 5.034044e+00
v49	 4.031355e+00	 3.689642e+00
v50	 4.837423e+00	 1.165579e+00
