c01 211.1800  -47.9700
c02 211.3100  -48.0100
c03 211.1900  -48.0400
c04 211.4800  -48.0700
c05 211.5700  -48.0900
c06 211.3400  -48.1000
c07 211.2500  -48.1200
c08 211.1500  -48.1400
c09 211.3800  -48.1400
c10 211.2400  -48.1500
c11 211.1300  -48.1600
c12 211.2300  -48.1600
c13 211.4200  -48.1600
c14 211.1600  -48.1700
c15 211.2300  -48.1700
c16 211.3200  -48.1700
c17 211.2400  -48.1750
c18 211.1900  -48.1800
c19 211.2500  -48.1800
c20 211.3400  -48.1800
c21 211.2300  -48.1850
c22 210.8900  -48.1900
c23 211.2100  -48.1900
c24 211.2700  -48.1900
c25 211.2200  -48.1950
c26 211.2800  -48.1950
c27 211.1800  -48.2000
c28 211.2400  -48.2000
c29 211.3100  -48.2000
c30 211.1900  -48.2050
c31 211.2500  -48.2050
c32 211.2000  -48.2100
c33 211.2600  -48.2100
c34 211.2100  -48.2150
c35 211.0700  -48.2200
c36 211.2100  -48.2200
c37 211.2900  -48.2200
c38 211.1800  -48.2300
c39 211.3000  -48.2300
c40 211.2100  -48.2400
c41 211.3600  -48.2400
c42 211.2000  -48.2500
c43 211.1100  -48.2600
c44 211.3400  -48.2600
c45 211.2100  -48.2800
c46 211.4900  -48.2800
c47 211.1500  -48.3200
c48 211.6600  -48.3200
c49 211.5000  -48.3700
